"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0034341";"response to type II interferon";"24/415";"149/28905";0.161073825503356;11.2188889787337;15.0934797219825;1.91492077128229e-18;7.40691354331988e-15;5.07151648478551e-15;"Gsn/Ccl11/Dapk1/Ccl5/Gbp4/Sp100/Irgm1/Ccl8/Ccl19/Gbp6/Igtp/Irf8/Gbp8/Ifitm1/Gbp3/Stat1/Gbp7/H2-Q7/Parp14/Irgm2/H2-Eb1/Ciita/H2-Aa/H2-Ab1";24
"GO:0035456";"response to interferon-beta";"18/415";"72/28905";0.25;17.4126506024096;16.8289435805542;9.49002994555026e-18;1.83537179146942e-14;1.25667975489497e-14;"Iigp1/Ifi207/Ifi203/Ifi205/Irgm1/Gm12185/Gbp6/Igtp/Mndal/Ifitm1/Ifi47/Gbp3/Stat1/Gbp7/Irgm2/Ikbke/F830016B08Rik/Ifi206";18
"GO:0019882";"antigen processing and presentation";"22/415";"135/28905";0.162962962962963;11.35046854083;14.5483506828491;3.98525863048661e-17;5.13832679424074e-14;3.51821428572081e-14;"B2m/H2-D1/H2-Q6/Psmb8/Psmb9/H2-Q4/Ccl19/H2-DMa/H2-T23/Unc93b1/H2-Q7/Tap1/Fgl2/Tap2/Icam1/Psme2/H2-Eb1/H2-Oa/H2-Aa/Pycard/H2-Ab1/Fcer1g";22
"GO:0009615";"response to virus";"33/415";"377/28905";0.0875331564986737;6.0967370809498;12.0222025575976;1.37993773497349e-16;1.33439978971936e-13;9.1366403715613e-14;"Ifi207/Ifi27l2a/Ifi203/Ccl5/Ifi205/Gbp4/Il17ra/Irgm1/Batf3/Cxcl9/Cxcl10/Ccl19/Igtp/Mndal/Ifitm1/Stat1/Unc93b1/Gbp7/Trim30a/Rtp4/Ifih1/Fgl2/Htra1/Irgm2/Ikbke/Trim30b/Ddx60/Isg15/Pycard/Ifi206/Slfn8/Ptprc/Nmi";33
"GO:0035458";"cellular response to interferon-beta";"16/415";"63/28905";0.253968253968254;17.689041881813;16.0046356231167;4.83944533684628e-16;3.74379491258429e-13;2.56337778263268e-13;"Iigp1/Ifi207/Ifi203/Ifi205/Irgm1/Gm12185/Gbp6/Igtp/Mndal/Ifi47/Gbp3/Stat1/Gbp7/Irgm2/F830016B08Rik/Ifi206";16
"GO:0002832";"negative regulation of response to biotic stimulus";"22/415";"167/28905";0.131736526946108;9.17552846114999;12.7879991324503;4.05889234984768e-15;2.61663260153514e-12;1.79160932495031e-12;"Ifi207/Ifi203/H2-D1/Ifi205/H2-Q6/Serping1/Irgm1/H2-Q4/Igtp/Mndal/H2-T23/H2-Q7/Tap1/Parp14/Fgl2/Htra1/Irgm2/Tap2/Dtx4/Isg15/Ifi206/Nmi";22
"GO:0019884";"antigen processing and presentation of exogenous antigen";"15/415";"60/28905";0.25;17.4126506024096;15.3594574712762;5.21387154243761e-15;2.73462011281683e-12;1.87239541823522e-12;"B2m/H2-D1/H2-Q6/H2-Q4/H2-DMa/H2-T23/Unc93b1/H2-Q7/Tap2/Psme2/H2-Eb1/H2-Oa/H2-Aa/H2-Ab1/Fcer1g";15
"GO:0050900";"leukocyte migration";"32/415";"402/28905";0.0796019900497512;5.54432655997123;11.0737335824972;5.99174773889658e-15;2.73462011281683e-12;1.87239541823522e-12;"Apod/Dpep1/Cyp7b1/Rarres2/Ccl11/Ccl5/Lbp/Il17ra/Vegfd/Cd34/Cmklr1/Cxcl9/Ccl8/Cxcl10/Ccl19/Spns2/Aoc3/Cxcl12/Ptn/Icam1/Pik3r1/Dapk2/Coro1a/Camk1d/Nkx2-3/Itgal/Cxcr5/Pycard/Itga4/Myo1f/Ednrb/Fcer1g";32
"GO:0045088";"regulation of innate immune response";"35/415";"486/28905";0.0720164609053498;5.0159898854678;10.776138064946;6.3628699626038e-15;2.73462011281683e-12;1.87239541823522e-12;"Ifi207/Ifi203/H2-D1/Ifi205/H2-Q6/Lbp/Serping1/Irgm1/H2-Q4/Igtp/Slc15a3/Mndal/H2-T23/Gbp3/Unc93b1/Gbp7/H2-Q7/Trim30a/Tap1/Ifih1/Parp14/Irgm2/Tap2/Dtx4/Ikbke/Pik3r1/Trim30b/Nr1h3/Ddx60/Isg15/Tril/Pycard/Myo1f/Ifi206/Nmi";35
"GO:0001906";"cell killing";"27/415";"285/28905";0.0947368421052632;6.59847812301839;11.4634251280171;1.25434566075605e-14;4.77251402135847e-12;3.26774214274694e-12;"B2m/H2-D1/Ccl11/H2-Q6/C3/Cxcl9/Ccl8/H2-Q4/Cxcl10/Kng2/Ccl19/Igtp/H2-T23/Gbp3/Gbp7/H2-Q7/Cxcl12/Tap1/Ctsh/Fgl2/Pnp/Irgm2/Ptpn6/Tap2/Coro1a/Cd2/Ptprc";27
